id_cp_interaction,partner_a,partner_b,protein_name_a,protein_name_b,annotation_strategy,source
CPI-000000,P49662,Q14116,CASP4_HUMAN,IL18_HUMAN,"OmniPath,SignaLink3",PMID: 15326478
CPI-000001,P48995,Q13563,TRPC1_HUMAN,PKD2_HUMAN,"OmniPath,TRIP","PMID: 10097141,PMID: 14530267,PMID: 18323855,PMID: 19193631,PMID: 19850920,PMID: 20682256,PMID: 25114176"
CPI-000002,Q13563,P48995,PKD2_HUMAN,TRPC1_HUMAN,"OmniPath,TRIP","PMID: 10097141,PMID: 14530267,PMID: 18323855,PMID: 19193631,PMID: 19850920,PMID: 20682256,PMID: 25114176"
CPI-000003,Q13563,P55072,PKD2_HUMAN,TERA_HUMAN,"OmniPath,TRIP",PMID: 18178578
CPI-000004,Q13563,P00533,PKD2_HUMAN,EGFR_HUMAN,"OmniPath,TRIP",PMID: 16135816
CPI-000005,Q13563,Q9HBA0,PKD2_HUMAN,TRPV4_HUMAN,"OmniPath,TRIP","PMID: 18695040,PMID: 20682256,PMID: 22518003,PMID: 23977387,PMID: 25114176"
CPI-000006,Q9HBA0,Q13563,TRPV4_HUMAN,PKD2_HUMAN,"OmniPath,TRIP","PMID: 18695040,PMID: 20682256,PMID: 22518003,PMID: 23977387,PMID: 25114176"
CPI-000007,P98161,Q13563,PKD1_HUMAN,PKD2_HUMAN,"OmniPath,TRIP","PMID: 10097141,PMID: 11140688,PMID: 11901144,PMID: 12937304,PMID: 15060061,PMID: 15692563,PMID: 19556541,PMID: 23390129,PMID: 9171830,PMID: 9192675"
CPI-000008,Q13563,Q13507,PKD2_HUMAN,TRPC3_HUMAN,"OmniPath,TRIP",PMID: 19812035
CPI-000009,Q13563,P0CG48,PKD2_HUMAN,UBC_HUMAN,"OmniPath,TRIP",PMID: 18178578
CPI-000010,Q13563,Q9HCX4,PKD2_HUMAN,TRPC7_HUMAN,"OmniPath,TRIP",PMID: 19812035
CPI-000011,P17302,Q9UBN4,CXA1_HUMAN,TRPC4_HUMAN,"OmniPath,TRIP",PMID: 15540229
CPI-000012,P17302,P12830,CXA1_HUMAN,CADH1_HUMAN,"OmniPath,Wang",
CPI-000013,Q07157,P17302,ZO1_HUMAN,CXA1_HUMAN,"OmniPath,PDZBase",PMID: 9707407
CPI-000014,P17302,Q07157,CXA1_HUMAN,ZO1_HUMAN,"KEGG,OmniPath,Wang",
CPI-000015,P28482,P17302,MK01_HUMAN,CXA1_HUMAN,"KEGG,OmniPath,Signor,Wang",PMID: 9535909
CPI-000016,P05305,P17302,EDN1_HUMAN,CXA1_HUMAN,"OmniPath,Wang",
CPI-000017,P01137,P17302,TGFB1_HUMAN,CXA1_HUMAN,"OmniPath,Wang",
CPI-000018,P09038,P17302,FGF2_HUMAN,CXA1_HUMAN,"OmniPath,Wang",
CPI-000019,P35222,P17302,CTNB1_HUMAN,CXA1_HUMAN,"OmniPath,Wang",
CPI-000020,P29323,P17302,EPHB2_HUMAN,CXA1_HUMAN,"KEGG,OmniPath",
CPI-000021,P17302,P29323,CXA1_HUMAN,EPHB2_HUMAN,"KEGG,OmniPath",
CPI-000022,P17302,Q13164,CXA1_HUMAN,MK07_HUMAN,"OmniPath,Wang",
CPI-000023,Q13164,P17302,MK07_HUMAN,CXA1_HUMAN,"KEGG,OmniPath,Signor,Wang","PMID: ,PMID: 12637502"
