uniprot,protein_name,transmembrane,peripheral,secreted,secreted_desc,secreted_highlight,receptor,receptor_desc,integrin,other,other_desc,tags,tags_reason,tags_description
Q13477,MADCA_HUMAN,True,True,False,,,False,,False,,,,,
P11217,PYGM_HUMAN,False,False,False,,,False,,False,,,,,
Q15465,SHH_HUMAN,False,True,True,,,True,,False,,,,,
Q9UIA0,CYH4_HUMAN,False,False,False,,,False,,False,,,,,
P13591,NCAM1_HUMAN,True,True,True,,,True,,False,,,,,
P27169,PON1_HUMAN,False,True,True,,,False,,False,,,,,
P56199,ITA1_HUMAN,True,True,False,,,True,,True,,,,,
Q9GZM8,NDEL1_HUMAN,False,False,False,,,False,,False,,,,,
P35354,PGH2_HUMAN,False,True,True,,,False,,False,,,,,
P54577,SYYC_HUMAN,False,False,False,,,False,,False,,,,,
Q13586,STIM1_HUMAN,True,True,False,,,False,,False,,,,,
P00750,TPA_HUMAN,True,True,True,,,True,,False,,,,,
P11229,ACM1_HUMAN,True,True,False,,,True,,False,,,,,
P39060,COIA1_HUMAN,False,False,True,,,False,,False,,,,,
P54762,EPHB1_HUMAN,True,True,False,,,True,,False,,,,,
Q8IY17,PLPL6_HUMAN,True,True,False,,,False,,False,,,,,
Q9UHF5,IL17B_HUMAN,False,False,True,,,False,,False,,,,,
P15311,EZRI_HUMAN,False,False,False,,,False,,False,,,,,
Q9Y5I7,CLD16_HUMAN,True,True,False,,,False,,False,,,,,
P01185,NEU2_HUMAN,False,False,True,,,False,,False,,,,,
Q9BUZ4,TRAF4_HUMAN,False,False,False,,,False,,False,,,,,
Q99967,CITE2_HUMAN,False,False,False,,,False,,False,,,,,
O75594,PGRP1_HUMAN,False,False,False,,,False,,False,,,,,
P01568,IFN21_HUMAN,False,False,True,,,False,,False,,,,,
P34972,CNR2_HUMAN,True,True,False,,,True,,False,,,,,
Q99497,PARK7_HUMAN,False,False,False,,,False,,False,,,,,
Q9UBG0,MRC2_HUMAN,True,True,False,,,True,,False,,,,,
P32418,NAC1_HUMAN,True,True,False,,,False,,False,,,,,
Q6ZN44,UNC5A_HUMAN,True,True,False,,,True,,False,,,,,
Q5TCQ9,MAGI3_HUMAN,False,False,False,,,False,,False,,,,,
Q14393,GAS6_HUMAN,False,False,True,,,False,,False,,,,,
O75094,SLIT3_HUMAN,False,True,False,,,False,,False,,,,,
Q8IWL2,SFTA1_HUMAN,False,False,False,,,False,,False,,,,,
O60711,LPXN_HUMAN,False,False,False,,,False,,False,,,,,
P36544,ACHA7_HUMAN,True,True,False,,,True,,False,,,,,
O43927,CXL13_HUMAN,False,False,True,,,False,,False,,,,,
P08697,A2AP_HUMAN,False,True,True,,,False,,False,,,,,
O43612,OREX_HUMAN,False,False,True,,,False,,False,,,,,
P29622,KAIN_HUMAN,True,False,False,,,False,,False,,,,,
O43561,LAT_HUMAN,False,True,True,,,False,,False,,,,,
P25090,FPR2_HUMAN,True,True,False,,,True,,False,,,,,
P49746,TSP3_HUMAN,False,True,True,,,False,,False,,,,,
P09543,CN37_HUMAN,False,False,False,,,False,,False,,,,,
Q13131,AAPK1_HUMAN,False,False,True,,,False,,False,,,,,
Q96B33,CLD23_HUMAN,False,False,False,,,False,,False,,,,,
Q8WXD0,RXFP2_HUMAN,True,True,False,,,True,,False,,,,,
P51671,CCL11_HUMAN,False,False,True,,,False,,False,,,,,
Q14773,ICAM4_HUMAN,True,True,True,,,False,,False,,,,,
Q8TF30,WHAMM_HUMAN,False,False,False,,,False,,False,,,,,
O75093,SLIT1_HUMAN,False,False,False,,,False,,False,,,,,
Q9UNN8,EPCR_HUMAN,True,True,False,,,True,,False,,,,,
P10997,IAPP_HUMAN,False,False,True,,,False,,False,,,,,
P05231,IL6_HUMAN,False,False,True,,,False,,False,,,,,
Q13751,LAMB3_HUMAN,False,True,True,,,False,,False,,,,,
Q14392,LRC32_HUMAN,True,True,False,,,True,,False,,,,,
P35443,TSP4_HUMAN,False,False,True,,,False,,False,,,,,
Q8N441,FGRL1_HUMAN,True,True,False,,,True,,False,,,,,
Q9UBU3,GHRL_HUMAN,False,False,True,,,False,,False,,,,,
P01275,GLUC_HUMAN,False,False,True,,,False,,False,,,,,
P12318,FCG2A_HUMAN,True,True,False,,,True,,False,,,,,
P46094,XCR1_HUMAN,True,True,False,,,True,,False,,,,,
P02818,OSTCN_HUMAN,False,False,True,,,False,,False,,,,,
P56159,GFRA1_HUMAN,True,True,False,,,True,,False,,,,,
P41221,WNT5A_HUMAN,False,True,True,,,True,,False,,,,,
P51684,CCR6_HUMAN,True,True,False,,,True,,False,,,,,
Q01196,RUNX1_HUMAN,False,False,False,,,False,,False,,,,,
P00519,ABL1_HUMAN,False,False,False,,,False,,False,,,,,
Q9HDB5,NRX3B_HUMAN,False,True,False,,,True,,False,,,,,
P15086,CBPB1_HUMAN,False,False,True,,,False,,False,,,,,
P11940,PABP1_HUMAN,False,False,False,,,False,,False,,,,,
O94804,STK10_HUMAN,False,False,False,,,False,,False,,,,,
Q9BZZ2,SN_HUMAN,True,True,True,,,False,,False,,,,,
P62879,GBB2_HUMAN,False,False,False,,,False,,False,,,,,
P01583,IL1A_HUMAN,False,False,True,,,False,,False,,,,,
P05089,ARGI1_HUMAN,False,False,False,,,False,,False,,,,,
Q31612,1B73_HUMAN,True,True,False,,,True,,False,,,,,
P26232,CTNA2_HUMAN,False,False,False,,,False,,False,,,,,
P04054,PA21B_HUMAN,False,True,True,,,False,,False,,,,,
O00182,LEG9_HUMAN,False,True,True,,,False,,False,,,,,
P30485,1B47_HUMAN,True,True,False,,,True,,False,,,,,
Q9UK05,GDF2_HUMAN,False,False,True,,,False,,False,,,,,
P20333,TNR1B_HUMAN,True,True,True,,,True,,False,,,,,
Q9BYG4,PAR6G_HUMAN,False,False,False,,,False,,False,,,,,
P81534,D103A_HUMAN,False,False,True,,,False,,False,,,,,
P09529,INHBB_HUMAN,False,False,True,,,False,,False,,,,,
P55291,CAD15_HUMAN,True,True,False,,,False,,False,,,,,
P04075,ALDOA_HUMAN,False,False,False,,,False,,False,,,,,
P08922,ROS1_HUMAN,True,True,False,,,True,,False,,,,,
P57739,CLD2_HUMAN,True,True,False,,,True,,False,,,,,
P35372,OPRM_HUMAN,True,True,False,,,True,,False,,,,,
Q9UNP9,PPIE_HUMAN,False,False,False,,,False,,False,,,,,
P17655,CAN2_HUMAN,False,True,False,,,False,,False,,,,,
Q8NHL6,LIRB1_HUMAN,True,True,True,,,True,,False,,,,,
Q96E93,KLRG1_HUMAN,True,True,False,,,True,,False,,,,,
Q6H3X3,ULBP5_HUMAN,True,True,True,,,False,,False,,,,,
Q9UNH5,CC14A_HUMAN,False,False,True,,,False,,False,,,,,
P78324,SHPS1_HUMAN,True,True,False,,,True,,False,,,,,
P29033,CXB2_HUMAN,True,True,False,,,False,,False,,,,,
P43220,GLP1R_HUMAN,True,True,False,,,True,,False,,,,,
O00548,DLL1_HUMAN,True,True,False,,,False,,False,,,,,
P05160,F13B_HUMAN,False,False,False,,,False,,False,,,,,
Q29963,1C06_HUMAN,True,True,False,,,True,,False,,,,,
P61586,RHOA_HUMAN,False,False,False,,,False,,False,,,,,
Q13519,PNOC_HUMAN,False,False,True,,,False,,False,,,,,
Q9UBX5,FBLN5_HUMAN,False,False,True,,,False,,False,,,,,
P02461,CO3A1_HUMAN,False,True,True,,,False,,False,,,,,
Q9HCM2,PLXA4_HUMAN,True,True,False,,,True,,False,,,,,
Q96RI0,PAR4_HUMAN,True,True,False,,,True,,False,,,,,
Q9UHC6,CNTP2_HUMAN,True,True,False,,,True,,False,,,,,
P41586,PACR_HUMAN,True,True,False,,,True,,False,,,,,
P14921,ETS1_HUMAN,False,False,False,,,False,,False,,,,,
O00187,MASP2_HUMAN,False,False,True,,,False,,False,,,,,
P22455,FGFR4_HUMAN,True,True,True,,,True,,False,,,,,
O00585,CCL21_HUMAN,False,False,True,,,False,,False,,,,,
Q01638,ILRL1_HUMAN,True,True,True,,,True,,False,,,,,
P31644,GBRA5_HUMAN,True,True,False,,,False,,False,,,,,
Q9Y275,TN13B_HUMAN,True,True,True,,,False,,False,,,,,
P40933,IL15_HUMAN,False,True,True,,,True,,False,,,,,
P08567,PLEK_HUMAN,False,False,False,,,False,,False,,,,,
Q96CW9,NTNG2_HUMAN,False,True,True,,,False,,False,,,,,
P15151,PVR_HUMAN,True,True,True,,,True,,False,,,,,
P21291,CSRP1_HUMAN,False,False,False,,,False,,False,,,,,
P28068,DMB_HUMAN,True,True,False,,,False,,False,,,,,
P00738,HPT_HUMAN,False,True,True,,,False,,False,,,,,
P24385,CCND1_HUMAN,False,False,False,,,False,,False,,,,,
Q9Y251,HPSE_HUMAN,False,False,True,,,False,,False,,,,,
P35916,VGFR3_HUMAN,True,True,True,,,True,,False,,,,,
Q8NFZ3,NLGNY_HUMAN,False,True,False,,,True,,False,,,,,
P61764,STXB1_HUMAN,False,False,False,,,False,,False,,,,,
P48431,SOX2_HUMAN,False,False,False,,,False,,False,,,,,
P46091,GPR1_HUMAN,True,True,False,,,True,,False,,,,,
Q15742,NAB2_HUMAN,False,False,False,,,False,,False,,,,,
Q8IU54,IFNL1_HUMAN,False,False,True,,,False,,False,,,,,
P48651,PTSS1_HUMAN,False,False,False,,,False,,False,,,,,
P78562,PHEX_HUMAN,True,True,False,,,True,,False,,,,,
Q8TDY4,ASAP3_HUMAN,False,False,False,,,False,,False,,,,,
O43474,KLF4_HUMAN,False,False,False,,,False,,False,,,,,
O95727,CRTAM_HUMAN,True,True,False,,,False,,False,,,,,
P30512,1A29_HUMAN,True,True,False,,,True,,False,,,,,
P05109,S10A8_HUMAN,False,False,True,,,False,,False,,,,,
Q13496,MTM1_HUMAN,False,False,False,,,False,,False,,,,,
Q02747,GUC2A_HUMAN,False,False,True,,,False,,False,,,,,
Q14511,CASL_HUMAN,False,False,False,,,False,,False,,,,,
Q02505,MUC3A_HUMAN,False,True,False,,,False,,False,,,,,
P07237,PDIA1_HUMAN,False,True,False,,,True,,False,,,,,
P49913,CAMP_HUMAN,False,False,True,,,False,,False,,,,,
O15467,CCL16_HUMAN,True,False,True,,,False,,False,,,,,
Q99985,SEM3C_HUMAN,False,True,True,,,False,,False,,,,,
Q68EM7,RHG17_HUMAN,False,False,False,,,False,,False,,,,,
Q14512,FGFP1_HUMAN,False,True,True,,,True,,False,,,,,
Q14451,GRB7_HUMAN,False,False,False,,,False,,False,,,,,
Q8IYV9,IZUM1_HUMAN,False,True,False,,,True,,False,,,,,
Q8TD46,MO2R1_HUMAN,True,True,True,,,True,,False,,,,,
Q8IV16,HDBP1_HUMAN,False,True,False,,,True,,False,,,,,
Q07108,CD69_HUMAN,True,True,False,,,True,,False,,,,,
P32320,CDD_HUMAN,False,False,False,,,False,,False,,,,,
P02647,APOA1_HUMAN,False,True,False,,,True,,False,,,,,
Q08828,ADCY1_HUMAN,True,False,False,,,True,,False,,,,,
Q06418,TYRO3_HUMAN,True,True,False,,,True,,False,,,,,
Q00535,CDK5_HUMAN,True,False,False,,,False,,False,,,,,
Q92859,NEO1_HUMAN,True,True,False,,,True,,False,,,,,
Q9NPB6,PAR6A_HUMAN,False,False,False,,,False,,False,,,,,
P34903,GBRA3_HUMAN,True,True,False,,,False,,False,,,,,
P78380,OLR1_HUMAN,True,True,False,,,True,,False,,,,,
P00751,CFAB_HUMAN,False,False,True,,,False,,False,,,,,
P17066,HSP76_HUMAN,False,False,False,,,False,,False,,,,,
P78333,GPC5_HUMAN,False,True,True,,,True,,False,,,,,
O60258,FGF17_HUMAN,False,False,True,,,False,,False,,,,,
P27986,P85A_HUMAN,False,False,False,,,False,,False,,,,,
P47901,V1BR_HUMAN,True,True,False,,,True,,False,,,,,
Q06481,APLP2_HUMAN,True,True,False,,,True,,False,,,,,
P04004,VTNC_HUMAN,False,True,True,,,False,,False,,,,,
P18463,1B37_HUMAN,True,True,False,,,True,,False,,,,,
P45452,MMP13_HUMAN,False,True,True,,,False,,False,,,,,
Q7RTX1,TS1R1_HUMAN,True,True,False,,,True,,False,,,,,
P36897,TGFR1_HUMAN,True,True,False,,,True,,False,,,,,
P30556,AGTR1_HUMAN,True,True,False,,,True,,False,,,,,
P09486,SPRC_HUMAN,False,True,True,,,False,,False,,,,,
O43921,EFNA2_HUMAN,True,True,True,,,False,,False,,,,,
Q6UWB1,I27RA_HUMAN,True,True,False,,,True,,False,,,,,
P11021,BIP_HUMAN,False,True,False,,,True,,False,,,,,
P09601,HMOX1_HUMAN,True,False,False,,,False,,False,,,,,
Q16787,LAMA3_HUMAN,False,True,True,,,False,,False,,,,,
Q9HBL0,TENS1_HUMAN,False,True,False,,,False,,False,,,,,
P98164,LRP2_HUMAN,True,True,False,,,True,,False,,,,,
P01112,RASH_HUMAN,True,False,False,,,False,,False,,,,,
Q8WUP2,FBLI1_HUMAN,False,False,False,,,False,,False,,,,,
P27658,CO8A1_HUMAN,False,False,True,,,False,,False,,,,,
P98172,EFNB1_HUMAN,True,True,False,,,False,,False,,,,,
O60609,GFRA3_HUMAN,True,True,True,,,True,,False,,,,,
Q92619,HMHA1_HUMAN,False,False,False,,,False,,False,,,,,
Q13007,IL24_HUMAN,True,False,True,,,False,,False,,,,,
P13385,TDGF1_HUMAN,True,True,True,,,True,,False,,,,,
O95750,FGF19_HUMAN,False,False,True,,,False,,False,,,,,
P55287,CAD11_HUMAN,False,True,False,,,False,,False,,,,,
P25713,MT3_HUMAN,False,False,False,,,False,,False,,,,,
P20594,ANPRB_HUMAN,True,True,True,,,True,,False,,,,,
P05112,IL4_HUMAN,False,False,True,,,False,,False,,,,,
P12821,ACE_HUMAN,True,True,False,,,False,,False,,,,,
Q9UIQ6,LCAP_HUMAN,True,True,True,,,False,,False,,,,,
P25942,TNR5_HUMAN,True,True,True,,,True,,False,,,,,
P35222,CTNB1_HUMAN,True,False,False,,,False,,False,,,,,
Q9HB63,NET4_HUMAN,False,False,True,,,False,,False,,,,,
P10745,RET3_HUMAN,False,False,True,,,False,,False,,,,,
Q96A54,PAQR1_HUMAN,True,True,False,,,True,,False,,,,,
Q15768,EFNB3_HUMAN,True,True,False,,,True,,False,,,,,
Q9Y5X1,SNX9_HUMAN,False,False,True,,,False,,False,,,,,
P49238,CX3C1_HUMAN,True,True,False,,,True,,False,,,,,
Q16832,DDR2_HUMAN,True,True,False,,,True,,False,,,,,
P25940,CO5A3_HUMAN,False,True,True,,,False,,False,,,,,
Q13895,BYST_HUMAN,False,False,False,,,False,,False,,,,,
Q9H329,E41LB_HUMAN,False,False,False,,,False,,False,,,,,
P56975,NRG3_HUMAN,True,True,True,,,False,,False,,,,,
Q9NT99,LRC4B_HUMAN,False,True,False,,,True,,False,,,,,
P04234,CD3D_HUMAN,True,True,False,,,True,,False,,,,,
P30505,1C08_HUMAN,True,True,False,,,True,,False,,,,,
Q99418,CYH2_HUMAN,False,False,False,,,False,,False,,,,,
Q9HAB3,S52A2_HUMAN,False,True,False,,,True,,False,,,,,
P18075,BMP7_HUMAN,False,False,True,,,False,,False,,,,,
Q96D31,CRCM1_HUMAN,True,False,False,,,False,,False,,,,,
P26717,NKG2C_HUMAN,True,True,False,,,True,,False,,,,,
Q8NC01,CLC1A_HUMAN,True,True,False,,,True,,False,,,,,
Q9P2M7,CING_HUMAN,False,True,False,,,False,,False,,,,,
Q9Y2X7,GIT1_HUMAN,False,False,False,,,False,,False,,,,,
P41240,CSK_HUMAN,False,False,False,,,False,,False,,,,,
P06454,PTMA_HUMAN,False,False,False,,,False,,False,,,,,
Q8N4T0,CBPA6_HUMAN,True,False,False,,,False,,False,,,,,
Q01970,PLCB3_HUMAN,False,False,False,,,False,,False,,,,,
P30466,1B18_HUMAN,True,True,False,,,True,,False,,,,,
P41182,BCL6_HUMAN,False,False,False,,,False,,False,,,,,
P08174,DAF_HUMAN,True,True,True,,,True,,False,,,,,
P12645,BMP3_HUMAN,False,False,True,,,False,,False,,,,,
P27930,IL1R2_HUMAN,True,True,True,,,True,,False,,,,,
O76036,NCTR1_HUMAN,True,True,False,,,True,,False,,,,,
Q99250,SCN2A_HUMAN,True,True,False,,,False,,False,,,,,
P22303,ACES_HUMAN,True,True,True,,,False,,False,,,,,
Q99665,I12R2_HUMAN,True,True,False,,,True,,False,,,,,
P25063,CD24_HUMAN,True,True,False,,,True,,False,,,,,
P06396,GELS_HUMAN,False,False,True,,,False,,False,,,,,
P10321,1C07_HUMAN,True,True,False,,,True,,False,,,,,
Q13308,PTK7_HUMAN,True,True,False,,,True,,False,,,,,
Q9UJU6,DBNL_HUMAN,False,False,False,,,False,,False,,,,,
P15531,NDKA_HUMAN,False,False,False,,,False,,False,,,,,
P52888,THOP1_HUMAN,False,False,False,,,False,,False,,,,,
P22004,BMP6_HUMAN,False,False,True,,,False,,False,,,,,
P42785,PCP_HUMAN,False,False,True,,,False,,False,,,,,
Q9H6X2,ANTR1_HUMAN,True,True,False,,,True,,False,,,,,
P10914,IRF1_HUMAN,False,False,False,,,False,,False,,,,,
P30481,1B44_HUMAN,True,True,False,,,True,,False,,,,,
P02775,CXCL7_HUMAN,False,False,True,,,False,,False,,,,,
P14902,I23O1_HUMAN,True,False,False,,,False,,False,,,,,
P19876,CXCL3_HUMAN,False,False,True,,,False,,False,,,,,
