gene_name,uniprot,hgnc_symbol,ensembl
TLR9,Q9NR96,TLR9,ENSG00000239732
DNAJA3,Q96EY1,DNAJA3,ENSG00000103423
ITGA1,P56199,ITGA1,ENSG00000213949
XCL1,P47992,XCL1,ENSG00000143184
RAET1E,Q8TD07,RAET1E,ENSG00000164520
LIMS2,Q7Z4I7,LIMS2,ENSG00000072163
ADNP,Q9H2P0,ADNP,ENSG00000101126
CDH18,Q13634,CDH18,ENSG00000145526
GPRC5B,Q9NZH0,GPRC5B,ENSG00000167191
HLA-B,P30495,HLA-B,ENSG00000206450
GRIN1,Q05586,GRIN1,ENSG00000176884
CDK4,P11802,CDK4,ENSG00000135446
GNRH1,P01148,GNRH1,ENSG00000147437
LRP1,Q07954,LRP1,ENSG00000123384
ITGAE,P38570,ITGAE,ENSG00000083457
CFB,P00751,CFB,ENSG00000243570
COL3A1,P02461,COL3A1,ENSG00000168542
ANGPTL1,O95841,ANGPTL1,ENSG00000116194
RASA1,P20936,RASA1,ENSG00000145715
SH2B3,Q9UQQ2,SH2B3,ENSG00000111252
LAIR1,Q6GTX8,LAIR1,ENSG00000167613
LACRT,Q9GZZ8,LACRT,ENSG00000135413
CCNB2,O95067,CCNB2,ENSG00000157456
IFNGR2,P38484,IFNGR2,ENSG00000262795
CNTFR,P26992,CNTFR,ENSG00000122756
TPH1,P17752,TPH1,ENSG00000129167
MAP2K7,O14733,MAP2K7,ENSG00000076984
EPB41L4B,Q9H329,EPB41L4B,ENSG00000095203
PTP4A3,O75365,PTP4A3,ENSG00000184489
MMP1,P03956,MMP1,ENSG00000196611
LILRB2,Q8N423,LILRB2,ENSG00000275463
SDC3,O75056,SDC3,ENSG00000162512
BAIAP2,Q9UQB8,BAIAP2,ENSG00000175866
IL13RA1,P78552,IL13RA1,ENSG00000131724
OMG,P23515,OMG,ENSG00000126861
ACVR1B,P36896,ACVR1B,ENSG00000135503
CSN2,P05814,CSN2,ENSG00000135222
PTDSS1,P48651,PTDSS1,ENSG00000156471
AQP5,P55064,AQP5,ENSG00000161798
SEMA3D,O95025,SEMA3D,ENSG00000153993
CACNB2,Q08289,CACNB2,ENSG00000165995
MMP17,Q9ULZ9,MMP17,ENSG00000198598
HLA-C,P30508,HLA-C,ENSG00000228299
XCL2,Q9UBD3,XCL2,ENSG00000143185
TNFRSF14,Q92956,TNFRSF14,ENSG00000273936
VIPR2,P41587,VIPR2,ENSG00000106018
CYFIP2,Q96F07,CYFIP2,ENSG00000055163
PTPRF,P10586,PTPRF,ENSG00000142949
CDK5,Q00535,CDK5,ENSG00000164885
C1QTNF1,Q9BXJ1,C1QTNF1,ENSG00000173918
TNFSF12,O43508,TNFSF12,ENSG00000239697
WNT8A,Q9H1J5,WNT8A,ENSG00000061492
ESAM,Q96AP7,ESAM,ENSG00000149564
IGF2,P01344,IGF2,ENSG00000167244
HLA-G,P17693,HLA-G,ENSG00000206506
KIR2DL2,P43627,KIR2DL2,ENSG00000276011
KNG1,P01042,KNG1,ENSG00000113889
IL17RC,Q8NAC3,IL17RC,ENSG00000163702
HLA-C,Q07000,HLA-C,ENSG00000206435
MADCAM1,Q13477,MADCAM1,ENSG00000099866
HYAL2,Q12891,HYAL2,ENSG00000068001
VWF,P04275,VWF,ENSG00000110799
STX1A,Q16623,STX1A,ENSG00000106089
